performance,ratio,
0.707317073,0.5,
0.105973025,0.5,
1,0.5,
0.768760908,0.5,
0.365811966,0.5,
0,0.5,
0.5,0.5,
0.370253165,0.5,
0.115702479,0.5,
NA,0.5,
0.722707424,0.5,
1,0.5,
0,0.5,
0.312684366,0.5,
0.5,0.5,
0.460869565,0.5,
0,0.5,
NA,0.5,
0.172077922,0.5,
0.369942197,0.5,
0,0.5,
0.327160494,0.5,
1,0.5,
0,0.5,
0.688971579,0.5,
1,0.5,
0.506896552,0.5,
0.733858268,0.5,
0.5,0.5,
0.768647282,0.5,
0,0.5,
1,0.5,
0.103365385,0.5,
0.249520154,0.5,
0,0.5,
NA,0.5,
0,0.67,
0.249847032,0.67,
0.784153005,0.67,
0.5,0.67,
0.56232687,0.67,
0.102389078,0.67,
1,0.67,
0.406077348,0.67,
0.870242215,0.67,
0,0.67,
1,0.67,
0,0.67,
0,0.67,
0.701621249,0.67,
0,0.67,
0.042553191,0.67,
1,0.67,
NA,0.67,
1,0.67,
0.5,0.67,
0.225680934,0.67,
0.5,0.67,
1,0.67,
1,0.67,
0.5,0.67,
0.400779085,0.67,
0.528169014,0.67,
0.66,0.67,
1,0.67,
0,0.67,
0.07501084,0.67,
0,0.67,
1,0.67,
0.791552386,0.67,
0,0.67,
1,0.67,
0.435797665,0.75,
0.506072874,0.75,
0.832545632,0.75,
0.538461538,0.75,
0.305555556,0.75,
1,0.75,
0.5,0.75,
0.492625369,0.75,
NA,0.75,
0,0.75,
0.5,0.75,
1,0.75,
0,0.75,
0,0.75,
0.089041096,0.75,
0.406504065,0.75,
0.368330465,0.75,
NA,0.75,
1,0.75,
0,0.75,
0.5,0.75,
0.5,0.75,
0,0.75,
0.152772402,0.75,
0.408376963,0.75,
1,0.75,
0.830088496,0.75,
0.280487805,0.75,
1,0.75,
0,0.75,
0.562637363,0.75,
0.5,0.75,
0.626320573,0.75,
0.694041868,0.75,
0,0.75,
0,0.75,
